"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"720",107201.647206852,239455.341608145,217504.73527633,22.2955882159916,23.6185643816605,23.1453204145845
"721",109248.31963702,279783.42245719,250112.234788083,21.8134350730409,23.2292362393793,22.5155197258792
"722",114797.167231587,290400.649480542,269431.744676659,20.8133740414467,22.4112553977138,21.6603245512549
"723",97043.749996116,225932.014144377,205022.892737173,22.7431008492286,23.9927966183122,23.3958170457212
"724",109988.914778212,318761.915550608,289248.020647654,20.594396373396,22.2797368459118,21.2056516217723
"725",114421.824505934,291210.873959649,267971.298430431,20.5129608136048,22.4616764471911,21.3700357237101
"726",96463.6276107828,253684.248156655,217986.552526985,21.8994273822832,23.3678889589627,22.7493326796777
"727",110370.259571272,296033.509609936,270890.387517454,20.676227395175,22.2921340031787,21.4102642188681
"728",118057.84562527,312473.155565528,267692.653062414,20.8792396909103,22.521508997311,21.8985420143665
"729",109562.841247887,242658.097572492,211185.912361638,21.9185477586511,23.4621044301783,23.0137329633613
"730",109285.801439925,287391.146084133,275935.537142986,19.8286928221982,21.7507953708164,20.7899203529311
"731",123260.589201575,302249.945455909,271570.152299657,20.6360799872598,22.511922347955,21.3737559132184
"732",115200.551055007,292014.144729365,272359.454443606,20.7610367749294,22.6756154220062,21.4596877555326
"733",135823.850710153,342041.29235711,300412.29137406,19.6872592829162,21.9984793453213,20.5910425494501
"734",107176.015383308,291044.514498502,260168.441686049,21.1028003513894,22.6977326594143,21.8246571460415
"735",115404.76084921,298247.649974984,283168.810729398,20.577685273976,22.3334491750914,21.3935239738874
"736",114541.913730639,265186.583615649,241399.225334016,21.7768126879173,23.4395685826598,22.5327319974914
"737",124398.623810671,332220.045272896,290740.572594348,19.7377385688422,21.6018707037792,20.8293852807353
"738",110124.013496647,238715.117270524,207371.715687206,22.5148426649759,23.9437251914085,23.2722125876981
"739",111459.359995496,275801.639194468,245367.179278748,20.5251303776895,22.3918993927748,21.5359229506622
"740",117352.921791716,287991.729724396,245059.807902172,20.7805527232409,22.9687891814482,21.7572243714873
"741",103614.564468416,257447.706135621,238554.480475227,21.5977314167904,23.2030516756516,22.1302493452306
"742",110045.838087944,321735.129534883,287699.559361719,20.5174022273397,22.1883961976443,21.2958272752079
"743",121252.535688028,287350.207631047,270005.399238477,21.3503527553396,22.9741629914174,21.9830695994027
"744",110149.448503072,290788.280987965,287783.78563543,20.2942532248748,22.0028022627509,21.065459008775
"745",116085.844894082,251827.645806673,235935.685523903,21.8997649640899,23.7527045430662,22.6438128684524
"746",116967.077418859,277558.470465348,260222.289073294,21.3539036689006,22.9797032870937,21.9911833746432
